year,scen,ens,rcp,usd_rub,ship_type,tonne_km
2015,Pol,ens1,2p6,base,1A,8915.301031601535
2015,Pol,ens1,2p6,base,1AS,9359.850216104327
2015,Pol,ens1,2p6,discounted,1A,8926.621738414025
2015,Pol,ens1,2p6,discounted,1AS,9342.571250362922
2015,Pol,ens1,2p6,high,1A,8929.695610523891
2015,Pol,ens1,2p6,high,1AS,9369.982353871352
2015,Pol,ens1,2p6,low,1A,8806.753759311556
2015,Pol,ens1,2p6,low,1AS,9282.97296095331
2015,Pol,ens10,2p6,base,1A,8915.301031601535
2015,Pol,ens10,2p6,base,1AS,9359.850216104327
2015,Pol,ens10,2p6,discounted,1A,8926.621738414025
2015,Pol,ens10,2p6,discounted,1AS,9342.571250362922
2015,Pol,ens10,2p6,high,1A,8929.695610523891
2015,Pol,ens10,2p6,high,1AS,9369.982353871352
2015,Pol,ens10,2p6,low,1A,8806.753759311556
2015,Pol,ens10,2p6,low,1AS,9282.97296095331
2015,Pol,ens11,2p6,base,1A,8915.301031601535
2015,Pol,ens11,2p6,base,1AS,9359.850216104327
2015,Pol,ens11,2p6,discounted,1A,8926.621738414025
2015,Pol,ens11,2p6,discounted,1AS,9342.571250362922
2015,Pol,ens11,2p6,high,1A,8929.695610523891
2015,Pol,ens11,2p6,high,1AS,9369.982353871352
2015,Pol,ens11,2p6,low,1A,8806.753759311556
2015,Pol,ens11,2p6,low,1AS,9282.97296095331
2015,Pol,ens12,2p6,base,1A,8915.301031601535
2015,Pol,ens12,2p6,base,1AS,9359.850216104327
2015,Pol,ens12,2p6,discounted,1A,8926.621738414025
2015,Pol,ens12,2p6,discounted,1AS,9342.571250362922
2015,Pol,ens12,2p6,high,1A,8929.695610523891
2015,Pol,ens12,2p6,high,1AS,9369.982353871352
2015,Pol,ens12,2p6,low,1A,8806.753759311556
2015,Pol,ens12,2p6,low,1AS,9282.97296095331
2015,Pol,ens13,2p6,base,1A,8915.301031601535
2015,Pol,ens13,2p6,base,1AS,9359.850216104327
2015,Pol,ens13,2p6,discounted,1A,8926.621738414025
2015,Pol,ens13,2p6,discounted,1AS,9342.571250362922
2015,Pol,ens13,2p6,high,1A,8929.695610523891
2015,Pol,ens13,2p6,high,1AS,9369.982353871352
2015,Pol,ens13,2p6,low,1A,8806.753759311556
2015,Pol,ens13,2p6,low,1AS,9282.97296095331
2015,Pol,ens2,2p6,base,1A,8915.301031601535
