year,ens,scen,rcp,value
1990,ens1,Pol,2p6,0
1990,ens1,Ref,2p6,0
1990,ens1,Ref,8p5,0
1990,ens10,Pol,2p6,0
1990,ens10,Ref,2p6,0
1990,ens10,Ref,8p5,0
1990,ens11,Pol,2p6,0
1990,ens11,Ref,2p6,0
1990,ens11,Ref,8p5,0
1990,ens12,Pol,2p6,0
1990,ens12,Ref,2p6,0
1990,ens12,Ref,8p5,0
1990,ens13,Pol,2p6,0
1990,ens13,Ref,2p6,0
1990,ens13,Ref,8p5,0
1990,ens2,Pol,2p6,0
1990,ens2,Ref,2p6,0
1990,ens2,Ref,8p5,0
1990,ens3,Pol,2p6,0
1990,ens3,Ref,2p6,0
1990,ens3,Ref,8p5,0
1990,ens4,Pol,2p6,0
1990,ens4,Ref,2p6,0
1990,ens4,Ref,8p5,0
1990,ens5,Pol,2p6,0
1990,ens5,Ref,2p6,0
1990,ens5,Ref,8p5,0
1990,ens6,Pol,2p6,0
1990,ens6,Ref,2p6,0
1990,ens6,Ref,8p5,0
1990,ens7,Pol,2p6,0
1990,ens7,Ref,2p6,0
1990,ens7,Ref,8p5,0
1990,ens8,Pol,2p6,0
1990,ens8,Ref,2p6,0
1990,ens8,Ref,8p5,0
1990,ens9,Pol,2p6,0
1990,ens9,Ref,2p6,0
1990,ens9,Ref,8p5,0
2005,ens1,Pol,2p6,0
2005,ens1,Ref,2p6,0
2005,ens1,Ref,8p5,0
2005,ens10,Pol,2p6,0
2005,ens10,Ref,2p6,0
2005,ens10,Ref,8p5,0
2005,ens11,Pol,2p6,0
2005,ens11,Ref,2p6,0
2005,ens11,Ref,8p5,0
2005,ens12,Pol,2p6,0
2005,ens12,Ref,2p6,0
2005,ens12,Ref,8p5,0
2005,ens13,Pol,2p6,0
2005,ens13,Ref,2p6,0
2005,ens13,Ref,8p5,0
2005,ens2,Pol,2p6,0
2005,ens2,Ref,2p6,0
2005,ens2,Ref,8p5,0
2005,ens3,Pol,2p6,0
2005,ens3,Ref,2p6,0
2005,ens3,Ref,8p5,0
2005,ens4,Pol,2p6,0
2005,ens4,Ref,2p6,0
2005,ens4,Ref,8p5,0
2005,ens5,Pol,2p6,0
2005,ens5,Ref,2p6,0
2005,ens5,Ref,8p5,0
2005,ens6,Pol,2p6,0
2005,ens6,Ref,2p6,0
2005,ens6,Ref,8p5,0
2005,ens7,Pol,2p6,0
2005,ens7,Ref,2p6,0
2005,ens7,Ref,8p5,0
2005,ens8,Pol,2p6,0
2005,ens8,Ref,2p6,0
2005,ens8,Ref,8p5,0
2005,ens9,Pol,2p6,0
2005,ens9,Ref,2p6,0
2005,ens9,Ref,8p5,0
2010,ens1,Pol,2p6,0
2010,ens1,Ref,2p6,0
2010,ens1,Ref,8p5,0
2010,ens10,Pol,2p6,0
2010,ens10,Ref,2p6,0
2010,ens10,Ref,8p5,0
2010,ens11,Pol,2p6,0
2010,ens11,Ref,2p6,0
2010,ens11,Ref,8p5,0
2010,ens12,Pol,2p6,0
2010,ens12,Ref,2p6,0
2010,ens12,Ref,8p5,0
2010,ens13,Pol,2p6,0
2010,ens13,Ref,2p6,0
2010,ens13,Ref,8p5,0
2010,ens2,Pol,2p6,0
2010,ens2,Ref,2p6,0
2010,ens2,Ref,8p5,0
2010,ens3,Pol,2p6,0
2010,ens3,Ref,2p6,0
2010,ens3,Ref,8p5,0
2010,ens4,Pol,2p6,0
2010,ens4,Ref,2p6,0
2010,ens4,Ref,8p5,0
2010,ens5,Pol,2p6,0
2010,ens5,Ref,2p6,0
2010,ens5,Ref,8p5,0
2010,ens6,Pol,2p6,0
2010,ens6,Ref,2p6,0
2010,ens6,Ref,8p5,0
2010,ens7,Pol,2p6,0
2010,ens7,Ref,2p6,0
2010,ens7,Ref,8p5,0
2010,ens8,Pol,2p6,0
2010,ens8,Ref,2p6,0
2010,ens8,Ref,8p5,0
2010,ens9,Pol,2p6,0
2010,ens9,Ref,2p6,0
2010,ens9,Ref,8p5,0
2015,ens1,Pol,2p6,5.868815279901961
2015,ens1,Ref,2p6,5.868815279901961
2015,ens1,Ref,8p5,5.868815279901961
2015,ens10,Pol,2p6,5.868815279901961
2015,ens10,Ref,2p6,5.868815279901961
2015,ens10,Ref,8p5,5.868815279901961
2015,ens11,Pol,2p6,5.868815279901961
2015,ens11,Ref,2p6,5.868815279901961
2015,ens11,Ref,8p5,5.868815279901961
2015,ens12,Pol,2p6,5.868815279901961
2015,ens12,Ref,2p6,5.868815279901961
2015,ens12,Ref,8p5,5.868815279901961
2015,ens13,Pol,2p6,5.868815279901961
2015,ens13,Ref,2p6,5.868815279901961
2015,ens13,Ref,8p5,5.868815279901961
2015,ens2,Pol,2p6,5.868815279901961
2015,ens2,Ref,2p6,5.868815279901961
2015,ens2,Ref,8p5,5.868815279901961
2015,ens3,Pol,2p6,5.868815279901961
2015,ens3,Ref,2p6,5.868815279901961
2015,ens3,Ref,8p5,5.868815279901961
2015,ens4,Pol,2p6,5.868815279901961
2015,ens4,Ref,2p6,5.868815279901961
2015,ens4,Ref,8p5,5.868815279901961
2015,ens5,Pol,2p6,5.868815279901961
2015,ens5,Ref,2p6,5.868815279901961
2015,ens5,Ref,8p5,5.868815279901961
2015,ens6,Pol,2p6,5.868815279901961
2015,ens6,Ref,2p6,5.868815279901961
2015,ens6,Ref,8p5,5.868815279901961
2015,ens7,Pol,2p6,5.868815279901961
2015,ens7,Ref,2p6,5.868815279901961
2015,ens7,Ref,8p5,5.868815279901961
2015,ens8,Pol,2p6,5.868815279901961
2015,ens8,Ref,2p6,5.868815279901961
2015,ens8,Ref,8p5,5.868815279901961
2015,ens9,Pol,2p6,5.868815279901961
2015,ens9,Ref,2p6,5.868815279901961
2015,ens9,Ref,8p5,5.868815279901961
2016,ens1,Pol,2p6,5.844073116904762
2016,ens1,Ref,2p6,5.8440874408123245
2016,ens1,Ref,8p5,5.844096990084035
2016,ens10,Pol,2p6,5.8440349198179264
2016,ens10,Ref,2p6,5.844054018361344
2016,ens10,Ref,8p5,5.844054018361344
2016,ens11,Pol,2p6,5.8440349198179264
2016,ens11,Ref,2p6,5.844054018361344
2016,ens11,Ref,8p5,5.844054018361344
2016,ens12,Pol,2p6,5.8440349198179264
2016,ens12,Ref,2p6,5.844054018361344
2016,ens12,Ref,8p5,5.844054018361344
2016,ens13,Pol,2p6,5.844058792997199
2016,ens13,Ref,2p6,5.844077891540616
2016,ens13,Ref,8p5,5.844077891540616
2016,ens2,Pol,2p6,5.844073116904762
2016,ens2,Ref,2p6,5.8440874408123245
2016,ens2,Ref,8p5,5.84408266617647
2016,ens3,Pol,2p6,5.84409221544818
2016,ens3,Ref,2p6,5.844111313991596
2016,ens3,Ref,8p5,5.844111313991596
2016,ens4,Pol,2p6,5.8440683422689075
2016,ens4,Ref,2p6,5.84408266617647
2016,ens4,Ref,8p5,5.844073116904762
2016,ens5,Pol,2p6,5.844063567633053
2016,ens5,Ref,2p6,5.844077891540616
