subAU,year,value,ens,scen,rcp
rus1_sz2,2015,0.680325108839589,ens1,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens1,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens1,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens1,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens1,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens1,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens1,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens1,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens1,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens1,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens1,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens1,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens1,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens1,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens1,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens1,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens1,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens1,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens1,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens1,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens10,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens10,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens10,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens10,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens10,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens10,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens10,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens10,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens10,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens10,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens10,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens10,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens10,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens10,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens10,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens10,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens10,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens10,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens10,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens10,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens11,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens11,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens11,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens11,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens11,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens11,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens11,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens11,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens11,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens11,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens11,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens11,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens11,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens11,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens11,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens11,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens11,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens11,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens11,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens11,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens12,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens12,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens12,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens12,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens12,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens12,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens12,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens12,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens12,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens12,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens12,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens12,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens12,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens12,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens12,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens12,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens12,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens12,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens12,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens12,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens13,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens13,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens13,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens13,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens13,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens13,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens13,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens13,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens13,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens13,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens13,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens13,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens13,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens13,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens13,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens13,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens13,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens13,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens13,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens13,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens2,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens2,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens2,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens2,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens2,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens2,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens2,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens2,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens2,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens2,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens2,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens2,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens2,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens2,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens2,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens2,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens2,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens2,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens2,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens2,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens3,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens3,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens3,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens3,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens3,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens3,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens3,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens3,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens3,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens3,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens3,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens3,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens3,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens3,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens3,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens3,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens3,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens3,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens3,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens3,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens4,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens4,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens4,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens4,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens4,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens4,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens4,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens4,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens4,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens4,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens4,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens4,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens4,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens4,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens4,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens4,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens4,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens4,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens4,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens4,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens5,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens5,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens5,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens5,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens5,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens5,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens5,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens5,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens5,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens5,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens5,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens5,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens5,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens5,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens5,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens5,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens5,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens5,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens5,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens5,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens6,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens6,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens6,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens6,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens6,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens6,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens6,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens6,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens6,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens6,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens6,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens6,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens6,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens6,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens6,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens6,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens6,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens6,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens6,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens6,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens7,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens7,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens7,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens7,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens7,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens7,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens7,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens7,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens7,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens7,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens7,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens7,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens7,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens7,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens7,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens7,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens7,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens7,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens7,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens7,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens9,Pol,2p6
