subAU,year,value,ens,scen,rcp
rus1_sz2,1990,0,ens1,Pol,2p6
rus1_sz3,1990,0,ens1,Pol,2p6
rus1_sz4,1990,0,ens1,Pol,2p6
rus1_sz5,1990,0,ens1,Pol,2p6
rus1_sz2,2005,0,ens1,Pol,2p6
rus1_sz3,2005,0,ens1,Pol,2p6
rus1_sz4,2005,0,ens1,Pol,2p6
rus1_sz5,2005,0,ens1,Pol,2p6
rus1_sz2,2010,0,ens1,Pol,2p6
rus1_sz3,2010,0,ens1,Pol,2p6
rus1_sz4,2010,0,ens1,Pol,2p6
rus1_sz5,2010,0,ens1,Pol,2p6
rus1_sz2,2015,1.360650217679178,ens1,Pol,2p6
rus1_sz3,2015,1.8353261705632624,ens1,Pol,2p6
rus1_sz4,2015,1.8353261705632624,ens1,Pol,2p6
rus1_sz5,2015,0.8375127210962584,ens1,Pol,2p6
rus1_sz2,2016,1.35491389307832,ens1,Pol,2p6
rus1_sz3,2016,1.8275886737944325,ens1,Pol,2p6
rus1_sz4,2016,1.8275886737944325,ens1,Pol,2p6
rus1_sz5,2016,0.8339818762375772,ens1,Pol,2p6
rus1_sz2,2017,1.3491775684774623,ens1,Pol,2p6
rus1_sz3,2017,1.8198511770256027,ens1,Pol,2p6
rus1_sz4,2017,1.8198511770256027,ens1,Pol,2p6
rus1_sz5,2017,0.8304510313788962,ens1,Pol,2p6
rus1_sz2,2018,1.3434412438766041,ens1,Pol,2p6
rus1_sz3,2018,1.8121136802567726,ens1,Pol,2p6
rus1_sz4,2018,1.8121136802567726,ens1,Pol,2p6
rus1_sz5,2018,0.8269201865202149,ens1,Pol,2p6
rus1_sz2,2019,1.3377049192757464,ens1,Pol,2p6
rus1_sz3,2019,1.8043761834879428,ens1,Pol,2p6
rus1_sz4,2019,1.8043761834879428,ens1,Pol,2p6
rus1_sz5,2019,0.8233893416615338,ens1,Pol,2p6
rus1_sz2,2020,1.3319685946748885,ens1,Pol,2p6
rus1_sz3,2020,1.7966386867191129,ens1,Pol,2p6
rus1_sz4,2020,1.7966386867191129,ens1,Pol,2p6
rus1_sz5,2020,0.8198584968028527,ens1,Pol,2p6
rus1_sz2,2021,1.3310885525950578,ens1,Pol,2p6
rus1_sz3,2021,1.7954516334710966,ens1,Pol,2p6
rus1_sz4,2021,1.7954516334710966,ens1,Pol,2p6
rus1_sz5,2021,0.8193168098745138,ens1,Pol,2p6
rus1_sz2,2022,1.3302085105152275,ens1,Pol,2p6
rus1_sz3,2022,1.7942645802230806,ens1,Pol,2p6
rus1_sz4,2022,1.7942645802230806,ens1,Pol,2p6
