year,ens,scen,rcp,usd_rub,ship_type,dir,value
2015,ens1,Pol,2p6,base,1A,East,17.331723014352782
2015,ens1,Pol,2p6,base,1A,West,66.41264663794482
2015,ens1,Pol,2p6,base,1AS,East,18.40510762645758
2015,ens1,Pol,2p6,base,1AS,West,64.42588576846
2015,ens1,Pol,2p6,discounted,1A,East,17.364177570508996
2015,ens1,Pol,2p6,discounted,1A,West,66.380192081788607
2015,ens1,Pol,2p6,discounted,1AS,East,18.356121289239287
2015,ens1,Pol,2p6,discounted,1AS,West,64.4748721056783
2015,ens1,Pol,2p6,high,1A,East,17.37298979936272
2015,ens1,Pol,2p6,high,1A,West,66.37137985293488
2015,ens1,Pol,2p6,high,1AS,East,18.433832136413486
2015,ens1,Pol,2p6,high,1AS,West,64.3971612585041
2015,ens1,Pol,2p6,low,1A,East,17.020523422620613
2015,ens1,Pol,2p6,low,1A,West,66.72384622967698
2015,ens1,Pol,2p6,low,1AS,East,18.18715231980774
2015,ens1,Pol,2p6,low,1AS,West,64.64384107510985
2015,ens1,Ref,2p6,base,1A,East,17.331723014352782
2015,ens1,Ref,2p6,base,1A,West,66.41264663794482
2015,ens1,Ref,2p6,base,1AS,East,18.40510762645758
2015,ens1,Ref,2p6,base,1AS,West,64.42588576846
2015,ens1,Ref,2p6,discounted,1A,East,17.364177570508996
2015,ens1,Ref,2p6,discounted,1A,West,66.380192081788607
2015,ens1,Ref,2p6,discounted,1AS,East,18.356121289239287
2015,ens1,Ref,2p6,discounted,1AS,West,64.4748721056783
2015,ens1,Ref,2p6,high,1A,East,17.37298979936272
2015,ens1,Ref,2p6,high,1A,West,66.37137985293488
2015,ens1,Ref,2p6,high,1AS,East,18.433832136413486
2015,ens1,Ref,2p6,high,1AS,West,64.3971612585041
2015,ens1,Ref,2p6,low,1A,East,17.020523422620613
2015,ens1,Ref,2p6,low,1A,West,66.72384622967698
2015,ens1,Ref,2p6,low,1AS,East,18.18715231980774
2015,ens1,Ref,2p6,low,1AS,West,64.64384107510985
2015,ens1,Ref,8p5,base,1A,East,17.331723014352782
2015,ens1,Ref,8p5,base,1A,West,66.41264663794482
2015,ens1,Ref,8p5,base,1AS,East,18.40510762645758
2015,ens1,Ref,8p5,base,1AS,West,64.42588576846
2015,ens1,Ref,8p5,discounted,1A,East,17.364177570508996
2015,ens1,Ref,8p5,discounted,1A,West,66.380192081788607
2015,ens1,Ref,8p5,discounted,1AS,East,18.356121289239287
2015,ens1,Ref,8p5,discounted,1AS,West,64.4748721056783
2015,ens1,Ref,8p5,high,1A,East,17.37298979936272
2015,ens1,Ref,8p5,high,1A,West,66.37137985293488
2015,ens1,Ref,8p5,high,1AS,East,18.433832136413486
2015,ens1,Ref,8p5,high,1AS,West,64.3971612585041
2015,ens1,Ref,8p5,low,1A,East,17.020523422620613
2015,ens1,Ref,8p5,low,1A,West,66.72384622967698
2015,ens1,Ref,8p5,low,1AS,East,18.18715231980774
2015,ens1,Ref,8p5,low,1AS,West,64.64384107510985
2015,ens10,Pol,2p6,base,1A,East,17.331723014352782
2015,ens10,Pol,2p6,base,1A,West,66.41264663794482
2015,ens10,Pol,2p6,base,1AS,East,18.40510762645758
2015,ens10,Pol,2p6,base,1AS,West,64.42588576846
2015,ens10,Pol,2p6,discounted,1A,East,17.364177570508996
