year,ens,rcp,ship_type,num_months
2015,ens1,2p6,1A,4
2015,ens1,2p6,1AS,4
2015,ens1,8p5,1A,4
2015,ens1,8p5,1AS,4
2015,ens10,2p6,1A,4
2015,ens10,2p6,1AS,4
2015,ens10,8p5,1A,4
2015,ens10,8p5,1AS,4
2015,ens11,2p6,1A,4
2015,ens11,2p6,1AS,4
2015,ens11,8p5,1A,4
2015,ens11,8p5,1AS,4
2015,ens12,2p6,1A,4
2015,ens12,2p6,1AS,4
2015,ens12,8p5,1A,4
2015,ens12,8p5,1AS,4
2015,ens13,2p6,1A,4
2015,ens13,2p6,1AS,4
2015,ens13,8p5,1A,4
2015,ens13,8p5,1AS,4
2015,ens2,2p6,1A,4
2015,ens2,2p6,1AS,4
2015,ens2,8p5,1A,4
2015,ens2,8p5,1AS,4
2015,ens3,2p6,1A,4
2015,ens3,2p6,1AS,4
2015,ens3,8p5,1A,4
2015,ens3,8p5,1AS,4
2015,ens4,2p6,1A,4
2015,ens4,2p6,1AS,4
2015,ens4,8p5,1A,4
2015,ens4,8p5,1AS,4
2015,ens5,2p6,1A,4
2015,ens5,2p6,1AS,4
2015,ens5,8p5,1A,4
2015,ens5,8p5,1AS,4
2015,ens6,2p6,1A,4
2015,ens6,2p6,1AS,4
2015,ens6,8p5,1A,4
2015,ens6,8p5,1AS,4
2015,ens7,2p6,1A,4
2015,ens7,2p6,1AS,4
2015,ens7,8p5,1A,4
2015,ens7,8p5,1AS,4
2015,ens8,2p6,1A,4
2015,ens8,2p6,1AS,4
2015,ens8,8p5,1A,4
2015,ens8,8p5,1AS,4
2015,ens9,2p6,1A,4
2015,ens9,2p6,1AS,4
2015,ens9,8p5,1A,4
2015,ens9,8p5,1AS,4
2016,ens1,2p6,1A,3
2016,ens1,2p6,1AS,3
2016,ens1,8p5,1A,2
2016,ens1,8p5,1AS,2
2016,ens10,2p6,1A,4
2016,ens10,2p6,1AS,5
2016,ens10,8p5,1A,4
2016,ens10,8p5,1AS,5
2016,ens11,2p6,1A,4
2016,ens11,2p6,1AS,4
2016,ens11,8p5,1A,3
2016,ens11,8p5,1AS,4
2016,ens12,2p6,1A,4
2016,ens12,2p6,1AS,4
2016,ens12,8p5,1A,4
2016,ens12,8p5,1AS,4
2016,ens13,2p6,1A,2
2016,ens13,2p6,1AS,2
2016,ens13,8p5,1A,4
2016,ens13,8p5,1AS,5
2016,ens2,2p6,1A,2
2016,ens2,2p6,1AS,2
2016,ens2,8p5,1A,4
2016,ens2,8p5,1AS,4
2016,ens3,2p6,1A,3
2016,ens3,2p6,1AS,4
2016,ens3,8p5,1A,3
2016,ens3,8p5,1AS,3
2016,ens4,2p6,1A,3
2016,ens4,2p6,1AS,4
2016,ens4,8p5,1A,4
2016,ens4,8p5,1AS,4
2016,ens5,2p6,1A,3
2016,ens5,2p6,1AS,3
2016,ens5,8p5,1A,2
2016,ens5,8p5,1AS,3
2016,ens6,2p6,1A,4
2016,ens6,2p6,1AS,4
2016,ens6,8p5,1A,3
2016,ens6,8p5,1AS,3
2016,ens7,2p6,1A,3
2016,ens7,2p6,1AS,3
2016,ens7,8p5,1A,3
2016,ens7,8p5,1AS,4
2016,ens8,2p6,1A,3
2016,ens8,2p6,1AS,3
2016,ens8,8p5,1A,3
2016,ens8,8p5,1AS,4
2016,ens9,2p6,1A,3
2016,ens9,2p6,1AS,3
2016,ens9,8p5,1A,4
2016,ens9,8p5,1AS,4
2017,ens1,2p6,1A,3
2017,ens1,2p6,1AS,3
2017,ens1,8p5,1A,3
2017,ens1,8p5,1AS,4
2017,ens10,2p6,1A,3
2017,ens10,2p6,1AS,4
2017,ens10,8p5,1A,4
2017,ens10,8p5,1AS,4
2017,ens11,2p6,1A,4
2017,ens11,2p6,1AS,4
2017,ens11,8p5,1A,3
2017,ens11,8p5,1AS,4
2017,ens12,2p6,1A,4
2017,ens12,2p6,1AS,5
2017,ens12,8p5,1A,4
2017,ens12,8p5,1AS,4
2017,ens13,2p6,1A,2
2017,ens13,2p6,1AS,2
2017,ens13,8p5,1A,2
2017,ens13,8p5,1AS,2
2017,ens2,2p6,1A,2
2017,ens2,2p6,1AS,2
2017,ens2,8p5,1A,3
2017,ens2,8p5,1AS,4
2017,ens3,2p6,1A,4
2017,ens3,2p6,1AS,5
2017,ens3,8p5,1A,4
2017,ens3,8p5,1AS,4
2017,ens4,2p6,1A,4
2017,ens4,2p6,1AS,4
2017,ens4,8p5,1A,2
2017,ens4,8p5,1AS,2
2017,ens5,2p6,1A,4
2017,ens5,2p6,1AS,5
2017,ens5,8p5,1A,4
2017,ens5,8p5,1AS,4
2017,ens6,2p6,1A,2
2017,ens6,2p6,1AS,3
2017,ens6,8p5,1A,3
2017,ens6,8p5,1AS,3
2017,ens7,2p6,1A,3
2017,ens7,2p6,1AS,4
2017,ens7,8p5,1A,3
2017,ens7,8p5,1AS,4
2017,ens8,2p6,1A,3
2017,ens8,2p6,1AS,3
2017,ens8,8p5,1A,4
2017,ens8,8p5,1AS,6
2017,ens9,2p6,1A,2
2017,ens9,2p6,1AS,3
2017,ens9,8p5,1A,4
2017,ens9,8p5,1AS,5
2018,ens1,2p6,1A,3
2018,ens1,2p6,1AS,5
2018,ens1,8p5,1A,2
2018,ens1,8p5,1AS,3
2018,ens10,2p6,1A,4
2018,ens10,2p6,1AS,4
2018,ens10,8p5,1A,4
2018,ens10,8p5,1AS,5
2018,ens11,2p6,1A,4
2018,ens11,2p6,1AS,5
2018,ens11,8p5,1A,4
2018,ens11,8p5,1AS,4
2018,ens12,2p6,1A,4
2018,ens12,2p6,1AS,5
2018,ens12,8p5,1A,3
2018,ens12,8p5,1AS,4
2018,ens13,2p6,1A,2
2018,ens13,2p6,1AS,3
2018,ens13,8p5,1A,2
2018,ens13,8p5,1AS,2
2018,ens2,2p6,1A,3
2018,ens2,2p6,1AS,3
2018,ens2,8p5,1A,3
2018,ens2,8p5,1AS,4
2018,ens3,2p6,1A,2
2018,ens3,2p6,1AS,2
2018,ens3,8p5,1A,2
2018,ens3,8p5,1AS,2
2018,ens4,2p6,1A,2
2018,ens4,2p6,1AS,3
2018,ens4,8p5,1A,4
2018,ens4,8p5,1AS,4
2018,ens5,2p6,1A,2
2018,ens5,2p6,1AS,4
2018,ens5,8p5,1A,2
2018,ens5,8p5,1AS,2
2018,ens6,2p6,1A,4
2018,ens6,2p6,1AS,5
2018,ens6,8p5,1A,2
2018,ens6,8p5,1AS,2
2018,ens7,2p6,1A,3
2018,ens7,2p6,1AS,5
2018,ens7,8p5,1A,3
2018,ens7,8p5,1AS,3
2018,ens8,2p6,1A,2
2018,ens8,2p6,1AS,3
2018,ens8,8p5,1A,4
2018,ens8,8p5,1AS,6
2018,ens9,2p6,1A,3
2018,ens9,2p6,1AS,4
2018,ens9,8p5,1A,4
2018,ens9,8p5,1AS,4
2019,ens1,2p6,1A,4
2019,ens1,2p6,1AS,6
2019,ens1,8p5,1A,2
2019,ens1,8p5,1AS,2
2019,ens10,2p6,1A,4
2019,ens10,2p6,1AS,5
2019,ens10,8p5,1A,4
2019,ens10,8p5,1AS,5
2019,ens11,2p6,1A,4
